QID,page id,item,wiki db,category
Q21787611,10250099,Joan Olòriz Serra,frwiki,Human
Q58993183,12193266,Joe Cunningham (homme politique),frwiki,Human
Q1691384,13222830,Joe Diffie,frwiki,Human
Q16646407,7878383,Joël Bruneau,frwiki,Human
Q3180252,4944860,Joel M. Reed,frwiki,Human
Q57567,4375457,Joël Matip,frwiki,Human
Q16235385,9183807,Joey Gallo,frwiki,Human
Q96551,11741398,Johannes B. Kerner,frwiki,Human
Q88719792,13214925,John F. Murray,frwiki,Human
Q1364820,1291652,John H. Cox,frwiki,Human
Q268961,114750,John Horton Conway,frwiki,Human
Q520296,5411084,John Prine,frwiki,Human
Q1193243,13306068,John T. Houghton,frwiki,Human
Q540283,3080239,John Taylor (bassiste),frwiki,Human
Q2689047,7921439,Jonathas,frwiki,Human
Q15396247,8104327,José Gayà,frwiki,Human
Q3810475,13215893,José Luis Capón,frwiki,Human
Q1008502,4942384,Josep Maria Benet i Jornet,frwiki,Human
Q15944854,7272515,Joséphine Draï,frwiki,Human
Q29962972,10868388,Josiane Costes,frwiki,Human
Q1710489,254992,Juan Giménez,frwiki,Human
Q5951723,7558705,Juan Orlando Hernández,frwiki,Human
Q3189161,883135,Julie Bennett,frwiki,Human
Q5018805,7560689,Jun'ichi Ishida,frwiki,Human
Q860820,7155286,Kankurō Kudō,frwiki,Human
Q3193039,5591327,Kareem Jackson,frwiki,Human
Q437950,1069889,Katrina Adams,frwiki,Human
Q42770663,12197722,Keisha Lance Bottoms,frwiki,Human
Q1320080,5737889,Ken Shimura,frwiki,Human
Q344983,941327,Kenneth Edmonds,frwiki,Human
Q187198,408774,Kenny Dalglish,frwiki,Human
Q29545,1454221,Kevin Durant,frwiki,Human
Q923090,356492,Kevin Saunderson,frwiki,Human
Q58322517,12157263,Kevin Stitt,frwiki,Human
Q12283012,9855418,Kiril Domuschiev,frwiki,Human
Q90405588,13289579,Kishen Bholasing,frwiki,Human
Q3282984,13280524,Koos van den Berg,frwiki,Human
Q2633169,6374636,Kozo Tashima,frwiki,Human
Q87629158,13181521,Krach boursier de 2020,frwiki,Others
Q6438398,7189562,Kristofer Hivju,frwiki,Human
Q1806117,11413104,Larry Scott (tennis),frwiki,Human
Q271765,1146732,Laura Bell Bundy,frwiki,Human
Q3218716,2774759,Laura Tenoudji,frwiki,Human
Q47091950,11749460,Laurence Devillers,frwiki,Human
Q89589522,13340402,Laurent Gruson,frwiki,Human
Q6504550,11497018,Lawrence S. Bacow,frwiki,Human
Q87511491,13242585,Lee Cha-su,frwiki,Human
Q89564475,13243465,Lee Fierro,frwiki,Human
Q453393,549193,Lee Konitz,frwiki,Human
Q45843259,11346366,Leïla Menchari,frwiki,Human
Q33421935,11007123,Lenni-Kim,frwiki,Human
Q2622339,12142846,Lev Lechtchenko,frwiki,Human
Q84497471,13112014,Li Wenliang,frwiki,Human
Q85245727,13237016,Liang Wudong,frwiki,Human
Q89924623,13247619,Liliane Marchais,frwiki,Human
Q85005219,13239635,Lin Zhengbin,frwiki,Human
Q88027839,13203249,Liste de personnalités mortes de la Covid-19,frwiki,Others
Q30165113,11205654,Lloyd Russell-Moyle,frwiki,Human
Q89044367,13420409,Lorena Borjas,frwiki,Human
Q3836866,13244709,Lorenzo Acquarone,frwiki,Human
Q1067412,964975,Lorenzo Sanz,frwiki,Human
Q3263300,1291914,Louis Vogel,frwiki,Human
Q18202524,8357975,Louis-Jean de Nicolaÿ,frwiki,Human
Q66433557,12755128,Luca Kilian,frwiki,Human
Q15117583,10021068,Luca Lotti,frwiki,Human
Q267724,1030375,Lucia Bosè,frwiki,Human
Q3265178,5717574,Lucian Grainge,frwiki,Human
Q3265723,287623,Lucien Sève,frwiki,Human
Q61481724,13213013,Luigi Roni,frwiki,Human
Q314861,153477,Luis Fernandez (football),frwiki,Human
Q334126,345093,Luis Sepúlveda,frwiki,Human
Q64569137,12523163,Macarena Olona,frwiki,Human
Q92878926,13304327,Madeline Kripke,frwiki,Human
Q2024999,7676771,Mads Mensah Larsen,frwiki,Human
Q296724,5684003,Mahmoud Jibril,frwiki,Human
Q5959000,13194693,Mahmoud Sadeghi,frwiki,Human
Q17350905,8042424,Maina Sage,frwiki,Human
Q18975243,13129614,Maladie à coronavirus,frwiki,Others
Q84263196,13107788,Maladie à coronavirus 2019,frwiki,Others
Q17465755,10023471,Malcolm Brogdon,frwiki,Human
Q97011316,13461052,Mamadou Bamba Ndiaye (ministre),frwiki,Human
Q17350757,8112668,Mamadou Philippe Karambiri,frwiki,Human
Q129816,6114441,Manolo Gabbiadini,frwiki,Human
Q3286565,9976,Mansour Kamardine,frwiki,Human
Q445829,528655,Manu Dibango,frwiki,Human
Q29525790,10801246,Marc Engels,frwiki,Human
Q1892733,6221204,Marc Mézard,frwiki,Human
Q16269432,7363208,Marcel Javaux,frwiki,Human
Q2386112,754894,Marcel Moreau,frwiki,Human
Q3289573,1112203,Marcelle Ranson-Hervé,frwiki,Human
Q83264280,13092042,Marché de gros de fruits de mer de Huanan,frwiki,Others
Q1675472,3918408,Marco Solari,frwiki,Human
Q6757719,11533829,Marco Sportiello,frwiki,Human
Q6758454,8060203,Marcus Smart,frwiki,Human
Q3290692,380918,Marguerite Derrida,frwiki,Human
Q89795205,13242246,Marguerite Lescop,frwiki,Human
Q66084989,12978847,Mariana Arceo,frwiki,Human
Q48280,344263,Marianne Faithfull,frwiki,Human
Q55998474,13212181,Marie-Thérèse de Bourbon-Parme,frwiki,Human
Q767270,10401477,Mario Díaz-Balart,frwiki,Human
Q1868688,13232958,Mark Blum,frwiki,Human
Q6769832,9733337,Mark Steiner,frwiki,Human
Q16185279,13322551,Marko Đurić,frwiki,Human
Q207399,1236849,Marko Pantelić,frwiki,Human
Q15731012,13401595,Marlon Moraes,frwiki,Human
Q275169,1014243,Marouane Fellaini,frwiki,Human
Q19947773,8973222,Martine Vassal,frwiki,Human
Q10326942,13215961,Martinho Lutero Galati,frwiki,Human
Q29230,490557,Martti Ahtisaari,frwiki,Human
Q6778086,8641570,Marv Luster,frwiki,Human
Q6782695,7009208,Masataka Nashida,frwiki,Human
Q25425597,13194712,Masoumeh Aghapour Alishahi,frwiki,Human
Q738196,1936109,Masoumeh Ebtekar,frwiki,Human
Q478161,9120540,Matthew Hancock,frwiki,Human
Q28968068,13140487,Mattia Zaccagni,frwiki,Human
Q3300367,1791856,Maurice Barrier,frwiki,Human
Q4084007,11505847,Maurice Berger (historien),frwiki,Human
Q3300416,1509544,Maurice Bidermann,frwiki,Human
Q1270426,1515389,Maximiliano Richeze,frwiki,Human
Q3306708,801127,Merwan Rim,frwiki,Human
Q1660441,6815315,Métro de Wuhan,frwiki,Others
Q23820256,9907202,MHD (rappeur),frwiki,Human
Q352696,3446618,Michael Beasley,frwiki,Human
Q6834517,13228674,Michael Sorkin,frwiki,Human
Q15994807,13254894,Michael Wakelam,frwiki,Human
Q438465,38987,Michel Barnier,frwiki,Human
Q2917346,12135,Michel Boujenah,frwiki,Human
Q924976,9648,Michel Herbillon,frwiki,Human
Q3310166,1062808,Michel Lelong (prêtre),frwiki,Human
Q782651,2934916,Michel Parisse,frwiki,Human
Q15131268,7108058,Michel Tibon-Cornillot,frwiki,Human
Q44742365,11298388,Michèle Victory,frwiki,Human
Q6844797,9258324,Miguel Sanó,frwiki,Human
Q4994305,10593170,Mikael Appelgren (handball),frwiki,Human
Q3313368,2804425,Mike Huckaby,frwiki,Human
Q1431761,10399616,Mike Kelly,frwiki,Human
Q185572,822000,Mikel Arteta,frwiki,Human
Q4197538,13430724,Mikhaïl Ignatiev (homme politique),frwiki,Human
Q4298520,13058690,Mikhaïl Michoustine,frwiki,Human
Q1562744,13219143,Milutin (évêque de Valjevo),frwiki,Human
Q5835086,13241861,Minoo Mohraz,frwiki,Human
Q18345498,11534977,Mirga Gražinytė-Tyla,frwiki,Human
Q691911,4773002,Mitchell Langerak,frwiki,Human
Q795924,3646625,Mobile World Congress,frwiki,Others
Q92159374,13288134,Mohamed Ben Omar,frwiki,Human
Q88660090,13242690,Mohamed Farah (football),frwiki,Human
Q97143554,13470063,Mohamed Kouradji,frwiki,Human
Q21674648,13210376,Mohammad Kiyavosh,frwiki,Human
Q16052285,13212187,Mohammad Mirmohammadi,frwiki,Human
Q85098459,13178973,Mohammad-Reza Rahchamani,frwiki,Human
Q23024142,13194701,Mojtaba Zonnour,frwiki,Human
Q16852194,11215073,Morten Thorsby,frwiki,Human
Q349311,648837,Mostafa Pourmohammadi,frwiki,Human
Q31451910,13369028,Moukar Tcholponbayev,frwiki,Human
Q3326196,5778570,Moussa Benhamadi,frwiki,Human
Q3326366,5597873,Moustapha Mamba Guirassy,frwiki,Human
Q78482962,12978401,Moustapha Naité,frwiki,Human
Q982113,6378482,Mu Kanazaki,frwiki,Human
Q258586,6731487,Nadine Dorries,frwiki,Human
Q930921,1858321,Naoki Tsukahara,frwiki,Human
Q48872746,13216622,Naomi Munakata,frwiki,Human
Q87652750,13242597,Nasser Shabani,frwiki,Human
Q588067,1508887,Natalie Horler,frwiki,Human
Q52734910,11685236,Nathalie Fontanet,frwiki,Human
Q27733851,10462135,Neal Dunn,frwiki,Human
Q93464189,13315304,NHS COVID-19,frwiki,Others
Q16847056,13293254,Nick Cordero,frwiki,Human
Q1151614,3630122,Nick Watney,frwiki,Human
Q1332769,6955187,Nicola Zingaretti,frwiki,Human
Q3340026,295502,Nicolas Alfonsi,frwiki,Human
Q17281073,8410398,Nikola Jokić,frwiki,Human
Q430746,1028785,Norman Hunter,frwiki,Human
Q451302,3539761,Nour Hassan Hussein,frwiki,Human
Q5812,894959,Novak Djokovic,frwiki,Human
Q86715481,13156909,Nuno Gomes Nabiam,frwiki,Human
Q434890,10398198,Nydia Velázquez,frwiki,Human
Q164730,2697444,Olga Kurylenko,frwiki,Human
Q10340557,12849816,Olga Savary,frwiki,Human
Q3351209,520532,Olivier Mazerolle,frwiki,Human
Q7085856,13229451,Olle Holmquist,frwiki,Human
Q11885519,10269680,Omar Colley,frwiki,Human
Q24248306,13249631,Orlando McDaniel,frwiki,Human
Q3593648,1184250,Óscar Chávez,frwiki,Human
Q88311447,13241895,Oumarou Idani,frwiki,Human
Q81068910,13194545,Pandémie de Covid-19,frwiki,Bio-Med
Q88870152,13431036,Pandémie de Covid-19 à Anguilla,frwiki,Region
Q87708331,13308862,Pandémie de Covid-19 à Antigua-et-Barbuda,frwiki,Region
Q87580938,13201855,Pandémie de Covid-19 à Chypre,frwiki,Region
