QID,page id,item,wiki db,category
Q65945406,9363890,Miguel Ángel Tábet,eswiki,Human
Q24940009,7360396,Miguel Ángel Troitiño,eswiki,Human
Q3857269,4203416,Miguel Jones,eswiki,Human
Q6844797,6971174,Miguel Sanó,eswiki,Human
Q4298520,9254464,Mijaíl Mishustin,eswiki,Human
Q4994305,7986833,Mikael Appelgren (balonmanista),eswiki,Human
Q3313368,9396636,Mike Huckaby,eswiki,Human
Q1933279,9345831,Mike Longo,eswiki,Human
Q185572,432438,Mikel Arteta,eswiki,Human
Q6851247,9376404,Milena Jelinek,eswiki,Human
Q1562744,9358959,Milutin Knežević,eswiki,Human
Q18345498,8098572,Mirga Gražinytė-Tyla,eswiki,Human
Q16656949,9382715,Mishik Kazaryan,eswiki,Human
Q691911,5283737,Mitchell Langerak,eswiki,Human
Q96210090,9476467,MLS is Back Tournament,eswiki,Others
Q795924,2830494,Mobile World Congress,eswiki,Others
Q88660090,9348750,Mohamed Farah (futbolista),eswiki,Human
Q21674648,9348648,Mohammad Alavi Tabar,eswiki,Human
Q86709709,9348746,Mohammad Ali Ramazani Dastak,eswiki,Human
Q16052285,9333947,Mohammad Mirmohammadi,eswiki,Human
Q85098459,9333952,Mohammad-Reza Rahchamani,eswiki,Human
Q6893246,9470002,Mohammed Nasim,eswiki,Human
Q62007391,9243403,Montserrat Bassa,eswiki,Human
Q89417365,9440265,Montserrat Sabater Bacigalupi,eswiki,Human
Q16852194,9051440,Morten Thorsby,eswiki,Human
